Guaranteed Tuition Plan 2024 â€“ 2025,,,,,,,,,,,,
,Resident / Undergraduate,Non-Resident / Undergraduate,Resident / Graduate,Non-Resident / Graduate,,,,,,,,
Credit Hours,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only
1,"$1,957","$1,865","$1,794","$5,271","$5,179","$5,108","$1,906","$1,814","$1,743","$2,817","$2,725","$2,654"
2,"$2,607","$2,515","$2,444","$7,065","$6,973","$6,902","$3,037","$2,945","$2,874","$4,575","$4,483","$4,412"
3,"$3,260","$3,168","$3,097","$8,858","$8,766","$8,695","$3,923","$3,831","$3,760","$6,312","$6,220","$6,149"
4,"$3,912","$3,820","$3,749","$10,650","$10,558","$10,487","$4,686","$4,594","$4,523","$7,963","$7,871","$7,800"
5,"$4,565","$4,473","$4,402","$12,446","$12,354","$12,283","$5,449","$5,357","$5,286","$9,613","$9,521","$9,450"
6,"$5,216","$5,124","$5,053","$14,238","$14,146","$14,075","$6,212","$6,120","$6,049","$11,263","$11,171","$11,100"
7,"$5,869","$5,777","$5,706","$16,032","$15,940","$15,869","$7,466","$7,374","$7,303","$13,590","$13,498","$13,427"
8,"$6,521","$6,429","$6,358","$17,825","$17,733","$17,662","$8,229","$8,137","$8,066","$15,223","$15,131","$15,060"
9,"$7,173","$7,081","$7,010","$19,617","$19,525","$19,454","$8,564","$8,472","$8,401","$16,647","$16,555","$16,484"
10,"$7,195","$7,103","$7,032","$19,691","$19,599","$19,528","$9,254","$9,162","$9,091","$18,294","$18,202","$18,131"
11,"$7,214","$7,122","$7,051","$19,766","$19,674","$19,603","$9,942","$9,850","$9,779","$19,794","$19,702","$19,631"
12,"$8,246","$8,154","$8,083","$22,590","$22,498","$22,427","$10,458","$10,366","$10,295","$21,196","$21,104","$21,033"
13,"$8,246","$8,154","$8,083","$22,590","$22,498","$22,427","$10,458","$10,366","$10,295","$21,196","$21,104","$21,033"
14,"$8,246","$8,154","$8,083","$22,590","$22,498","$22,427","$10,458","$10,366","$10,295","$21,196","$21,104","$21,033"
15,"$8,246","$8,154","$8,083","$22,590","$22,498","$22,427","$10,458","$10,366","$10,295","$21,196","$21,104","$21,033"
