Scholarship name,School,Academic Program,Status,Deadline
Choral Arts Scholarship,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All,Open,"March 14, 2025 11:59 pm"
Jonelle and Bryce Jordan Scholarship in the Arts,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All,Open,"March 14, 2025 11:59 pm"
Sustainable Earth Systems Sciences Scholarship,School of Natural Sciences and Mathematics,Geosciences,Open,"March 15, 2025 11:59 pm"
Dr. John Hoffman Memorial Scholarship in Physics,School of Natural Sciences and Mathematics,Physics,Open,"March 21, 2025 5:00 pm"
Mei Lein Fellowship,School of Natural Sciences and Mathematics,All,Open,"March 21, 2025 5:00 pm"
Julia Williams Van Ness Merit Scholarship,School of Natural Sciences and Mathematics,All,Open,"March 21, 2025 5:00 pm"
Eric Moore Chemistry Graduate Student Scholarship,School of Natural Sciences and Mathematics,Chemistry,Open,"March 21, 2025 5:00 pm"
Ashraf Habibullah N.E.D. Scholarship/Fellowship,All Schools,All Majors,Open,"April 18, 2025 11:53 pm"
Pirkul Family Scholarship,Naveen Jindal School of Management,All Majors,Open,"April 18, 2025 11:59 pm"
Mezenner Family Scholarship,All Schools,Stem Majors,Open,"April 18, 2025 11:59 pm"
Loanne and Joe Chiu Scholarship,All Schools,All,Open,"April 18, 2025 11:59 pm"
Ryan Siddique Scholarship Fund,All Schools,All,Open,"April 18, 2025 11:59 pm"
Scott Wuensch Memorial Scholarship,All Schools,Stem Majors,Open,"April 18, 2025 11:59 pm"
"Rion Morgan and James Dunlop –
A Scholarship in Technology and Engineering","Erik Jonsson School of Engineering and Computer Science
School of Natural Sciences and Mathematics",All,Open,"April 18, 2025 11:59 pm"
UT Dallas Presidential Achievement Scholarship,All Schools,All Majors,Open,"April 18, 2025 11:59 pm"
Greater Texas Foundation – Removing Educational Barriers Scholarship,All Schools,All Majors,Open,"April 18, 2025 11:59 pm"
Ivan Sotelo Fellowship,All Schools,All Majors,Open,"April 18, 2025 11:59 pm"
Judy and Larry Sall Scholarship Fund,All Schools,All Majors,Open,"April 18, 2025 11:59 pm"
NASIM Foundation Endowed Scholarship,All Schools,All Majors,Open,"April 18, 2025 11:59 pm"
Marjorie Duckworth Endowment Award,All Schools,All Majors,Open,"April 18, 2025 11:59 pm"
Anthony (Tony) Cross Memorial Endowed Student Support Award,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Open,"April 18, 2025 11:59 pm"
HumCap STEM Scholarship,All Schools,All Majors,Open,"April 18, 2025 11:59 pm"
Dr. Anson L. Clark Presidential Scholarship,All Schools,All,Open,"April 18, 2025 11:59 pm"
UTD Women’s Club – Amelia A. Lundell Textbook Scholarship Fund,All Schools,All,Open,"April 18, 2025 11:59 pm"
UTD Alumni Endowed Scholarship,All Schools,All,Open,"April 18, 2025 11:59 pm"
Aage and Margareta Moller Endowed Scholarship,All Schools,All Majors,Open,"April 18, 2025 11:59 pm"
Minnie K. Patton Foundation Scholarship,All Schools,All Majors,Open,"April 18, 2025 11:59 pm"
Northwood Woman’s Club Scholarship,All Schools,All,Open,"April 18, 2025 11:59 pm"
Robert Plant Armstrong Scholarship,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All,Open,"April 18, 2025 11:59 pm"
First Graduates Endowed Scholarship,All Schools,All Majors,Open,"April 18, 2025 11:59 pm"
Greater Texas Foundation – Tech Titans Removing Educational Barriers Scholarship,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Open,"April 18, 2025 11:59 pm"
Bangladeshi Student Organization Alumni Scholarship,All Schools,All Majors,Open,"April 18, 2025 11:59 pm"
Mathew Sisters Endowed Scholarship,All Schools,All,Open,"April 18, 2025 11:59 pm"
Society of Iranian-American Women for Education,All Schools,All Majors,Open,"April 18, 2025 11:59 pm"
Robert W. Best Scholarship,All Schools,All,Open,"April 18, 2025 11:59 pm"
Sjoerd Steunebrink Endowed Scholarship,All Schools,All,Open,"April 18, 2025 11:59 pm"
Minnie K. Patton Endowed Scholarship,All Schools,All,Open,"April 18, 2025 11:59 pm"
Ram Lal Seekri Endowed Scholarship,All Schools,All,Open,"April 18, 2025 11:59 pm"
Selden Leavell Endowed Scholarship,All Schools,All,Open,"April 18, 2025 11:59 pm"
Richardson Woman’s Club Scholarship,All Schools,All,Open,"April 18, 2025 11:59 pm"
Jerry L. Caddell Scholarship,All Schools,All,Open,"April 18, 2025 11:59 pm"
J.E. (Yank) Henry Memorial Scholarship,All Schools,All,Open,"April 18, 2025 11:59 pm"
TBA Accounting Student Scholarship Program,Naveen Jindal School of Management,Accounting,Closed,
Dr. John Jagger Scholarship,School of Natural Sciences and Mathematics,All Majors,Closed,
Comet Scholars Program,All Schools,All,Closed,
Margie Renfrow Graduate Student Support Fund,School of Natural Sciences and Mathematics,Physics,Closed,
Retention Scholarship,All Schools,All Majors,Closed,
UT System Strada Education Network Scholarship,All Schools,All Majors,Closed,
UT Dallas Teaching Scholars,All Schools,All Majors,Closed,
Choo Family Scholarship/Fellowship,All Schools,All Majors,Closed,
The Ram Lal Seekri Scholarship for Academic Bridge Program Participants,School of Interdisciplinary Studies,Interdisciplinary Studies,Closed,
Stacey and Donald Kivowitz Scholarship,All Schools,All Majors,Closed,
Frances Jean Eichorst Endowed Scholarship,School of Interdisciplinary Studies,All Majors,Closed,
Indian Students Association Scholarship,All Schools,All Majors,Closed,
Asif and Attiya Effendi Scholarship/Fellowship,,All Majors,Closed,
Greater Dallas Taiwanese Chamber of Commerce Scholarship/Fellowship,All Schools,All Majors,Closed,
Keith – Huckaba Endowed Scholarship Support Fund,All Schools,All,Closed,
Raytheon Technologies Veteran STEM Award,All Schools,All Majors,Closed,
State Farm Veteran Award,All Schools,All Majors,Closed,
Neila Skinner Petrick and Thomas W. Petrick Endowed Scholarship for the School of Interdisciplinary Studies,School of Interdisciplinary Studies,Interdisciplinary Studies,Closed,
Syed Ali Rizvi Scholarship/Fellowship,All Schools,All Majors,Closed,
Bangladeshi Community Scholarship,All Schools,All,Closed,
Kathy Dress Scholarship/Fellowship,All Schools,All Majors,Closed,
DeFrank Endowed Scholarship,School of Interdisciplinary Studies,All Majors,Closed,
Jane Marie Grace Hicks Memorial Scholarship/Fellowship,All Schools,All Majors,Closed,
Ray Allum Math & Physics Scholarship Fund,,Physics,Closed,
Anselme Thierry Bony Scholarship,All Schools,All Majors,Closed,
William B. Hanson Student Support Fund,School of Natural Sciences and Mathematics,All Majors,Closed,
Indian Alumni Network Scholarship,All Schools,All Majors,Closed,
Sungkyunkwan University Scholarship,School of Natural Sciences and Mathematics,All Majors,Closed,
"Greater Texas Foundation –
Â Alan G. MacDiarmid Removing Educational Barriers",School of Natural Sciences and Mathematics,All,Closed,
Daniel L. Harris Biology Scholarship,School of Natural Sciences and Mathematics,Biology,Closed,
Bob and Carol Williams Entrepreneurial Scholarship,Naveen Jindal School of Management,All Majors,Closed,
Carolyn Galerstein Endowed Scholarship,School of Interdisciplinary Studies,Interdisciplinary Studies,Closed,
"Bioinformatics and Computational Biology
Graduate Study Scholarship",School of Natural Sciences and Mathematics,All,Closed,
Mahatma Gandhi Memorial of North Texas Scholarship,All Schools,All Majors,Closed,
Van Amburgh Scholarship,School of Interdisciplinary Studies,Interdisciplinary Studies,Closed,
Donald E. Hicks Memorial Award for U.S. Armed Forces Veterans,All Schools,Interdisciplinary Studies,Closed,
Turkish Student Organization Scholarship,All Schools,All Majors,Closed,
Ahmed Family Bangladesh Scholarship,All Schools,All Majors,Closed,
Terry Foundation Scholarship,All Schools,All Majors,Closed,
Recycling Scholarship,All Schools,All Majors,Closed,
Braniff Airways Student Support Fund,School of Natural Sciences and Mathematics,Sciences,Closed,"February 15, 2024 5:00 pm"
Marvin and Kathleen Stone Scholarship/Fellowship,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Closed,"August 5, 2024 11:59 pm"
Dennis M. Kratz Research Fund,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Closed,"September 12, 2024 11:59 pm"
The Nina and Thomas Lambert Scholarship/Fellowship,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Closed,"September 12, 2024 11:59 pm"
Ragen S. and Roy D. Elterman Endowed Scholarship,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Closed,"September 12, 2024 11:59 pm"
Robert S. Nelsen Scholarship in Creative Writing,"Harry W. Bass Jr. School of Arts, Humanities, and Technology",All Majors,Closed,"September 12, 2024 11:59 pm"
Naveen Jindal School of Management Graduate Scholarships,Naveen Jindal School of Management,All,Ongoing,
Erik Jonsson School of Engineering & Computer Science Undergraduate Scholarships,Erik Jonsson School of Engineering and Computer Science,All Majors,Ongoing,
Erik Jonsson School of Engineering & Computer Science Graduate Fellowships,Erik Jonsson School of Engineering and Computer Science,All,Ongoing,
International Education Fund Scholarship (IEFS),All Schools,All Majors,Ongoing,
Dean’s Excellence Scholarships for Graduate Students,Naveen Jindal School of Management,Biology,Ongoing,
"Naveen Jindal School of Management
 Undergraduate Scholarships",Naveen Jindal School of Management,Biology,Ongoing,
Phi Theta Kappa Scholarship,All Schools,All Majors,Ongoing,
Comet Transfer Scholarship,All Schools,All Majors,Ongoing,
